Skenario,Metode,Akurasi (Top-1),Recall,F1-Score,Peningkatan
Jarak Dekat (< 7m),Tanpa Restorasi,83.64%,0.84,0.86,
Jarak Dekat (< 7m),Dengan Restorasi,74.32%,0.74,0.78,-11.1%
Jarak Menengah (7-12m),Tanpa Restorasi,49.43%,0.49,0.54,
Jarak Menengah (7-12m),Dengan Restorasi,68.41%,0.68,0.69,+38.4%
Jarak Jauh (>= 12m),Tanpa Restorasi,12.76%,0.13,0.07,
Jarak Jauh (>= 12m),Dengan Restorasi,34.50%,0.35,0.34,+170.4%
Ketinggian 1.5m,Tanpa Restorasi,57.06%,0.57,0.63,
Ketinggian 1.5m,Dengan Restorasi,62.46%,0.62,0.66,+9.5%
Ketinggian 3m,Tanpa Restorasi,56.34%,0.56,0.63,
Ketinggian 3m,Dengan Restorasi,63.05%,0.63,0.65,+11.9%
Ketinggian 4m,Tanpa Restorasi,47.94%,0.48,0.55,
Ketinggian 4m,Dengan Restorasi,63.34%,0.63,0.65,+32.1%
Ketinggian 5m,Tanpa Restorasi,28.01%,0.29,0.30,
Ketinggian 5m,Dengan Restorasi,44.28%,0.44,0.44,+58.1%
Semua Data Uji,Tanpa Restorasi,47.45%,0.48,0.54,
Semua Data Uji,Dengan Restorasi,58.28%,0.58,0.61,+22.8%
